name,mass,mass_error_min,mass_error_max,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
K2-397 b,0.02121,0.01277,0.01277,0.0,0.0,0.21563,0.01633
K2-398 b,0.01913,0.0113,0.0113,0.0,0.0,0.20287,0.0099
K2-398 c,0.07366,0.0412,0.0412,0.0,0.0,0.45482,0.01303
K2-39 b,0.09,0.05,0.05,0.0,0.0,0.56,0.15
K2-3 b,0.02039,0.00293,0.00311,0.0,0.0,0.194,0.03
K2-3 c,0.00673,0.00327,0.0034,0.0,0.0,0.165,0.024
K2-3 d,0.00881,0.0,0.0,0.0,0.0,0.135,0.021
K2-400 b,0.00519,0.0025,0.0025,0.0,0.0,0.10376,0.00437
K2-401 b,0.01834,0.01174,0.01174,0.0,0.0,0.2018,0.01713
K2-402 b,0.0245,0.01491,0.01491,0.0,0.0,0.23892,0.0174
K2-403 b,0.07838,0.05154,0.05154,0.0,0.0,0.47578,0.03453
K2-404 b,0.02306,0.01277,0.01277,0.0,0.0,0.2257,0.0074
K2-405 b,0.05862,0.0342,0.0342,0.0,0.0,0.40762,0.01097
K2-406 Ab,0.06305,0.039,0.039,0.0,0.0,0.41057,0.02605
K2-407 b,0.00664,0.00359,0.00359,0.0,0.0,0.11446,0.00794
K2-407 c,0.00783,0.0044,0.0044,0.0,0.0,0.1213,0.00785
K2-408 b,0.01224,0.00626,0.00626,0.0,0.0,0.14961,0.00972
K2-409 b,0.02121,0.01277,0.01277,0.0,0.0,0.22143,0.0141
K2-415 b,0.009,0.0085,0.0085,0.0,0.0,0.09055,0.00455
K2-416 b,0.023,0.0101,0.0192,0.0,0.0,0.241,0.0152
K2-417 b,0.0299,0.0107,0.022,0.0,0.0,0.2837,0.0125
K2-418 b,0.0327,0.005,0.005,0.0,0.0,0.2079,0.008
K2-419 Ab,0.617,0.047,0.047,0.0,0.0,0.941,0.034
K2-44 b,0.0379,0.0,0.0,0.0,0.0,0.245,0.021
K2-52 b,0.4046,0.0,0.0,0.0,0.0,1.606,0.196
K2-53 b,0.0289,0.0079,0.0079,0.0,0.0,0.232,0.009
K2-55 b,0.138,0.0167,0.0167,0.0,0.0,0.341,0.029
K2-60 b,0.426,0.037,0.037,0.0,0.0,0.683,0.037
K2-66 b,0.06702,0.01133,0.01133,0.0,0.0,0.222,0.021
K2-77 b,1.9,1.9,0.0,0.0,0.0,0.205,0.014
K2-79 b,0.0371,0.0113,0.0113,0.0,0.0,0.3649,0.0107
K2-87 b,0.1192,0.04,0.04,0.0,0.0,0.678,0.036
K2-90 b,0.028,0.0079,0.0079,0.0,0.0,0.232,0.009
K2-95 b,1.67,1.66,0.0,0.0,0.0,0.346,0.156
K2-97 b,1.1,0.11,0.11,0.0,0.0,0.947,0.085
K2-98 b,0.101,0.025,0.025,0.0,0.0,0.464,0.017
K2-99 b,0.87,0.02,0.02,0.0,0.0,1.046,0.037
K2-99 c,8.4,0.2,0.2,0.2,0.2,0.67535,0.0
kappa CrB b,1.6,0.0,0.0,0.0,0.0,0.67535,0.0
KELT-10 b,0.679,0.039,0.039,0.039,0.039,1.399,0.049
KELT-11 Ab,0.195,0.019,0.019,0.0,0.0,1.3,0.12
KELT-12 b,0.95,0.14,0.14,0.0,0.0,1.79,0.17
KELT-15 Ab,0.92,0.23,0.23,0.22,0.22,1.443,0.057
KELT-16 Ab,2.75,0.15,0.16,0.15,0.15,1.415,0.067
KELT-17 b,1.31,0.29,0.29,0.0,0.0,1.525,0.06
KELT-18 Ab,1.176,0.036,0.036,0.0,0.0,1.568,0.029
KELT-19 Ab,4.07,4.06,0.0,0.0,0.0,1.91,0.11
KELT-20 b,3.518,3.517,0.0,0.0,0.0,1.83,0.07
KELT-21 Ab,3.88,0.05,0.05,0.0,0.0,1.584,0.034
KELT-22 Ab,3.69,0.18,0.18,0.0,0.0,1.2,0.06
