name,mass,mass_error_min,mass_error_max,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
Kepler-412 b,0.941,0.019,0.125,0.0,0.0,1.341,0.046
Kepler-413 (AB)b,0.211,0.066,0.066,0.0,0.0,0.3881,0.009
Kepler-414 b,0.011,0.009,0.011,0.0,0.0,0.153,0.012
Kepler-414 c,0.094,0.033,0.039,0.0,0.0,0.269,0.022
Kepler-415 b,0.377,0.275,0.321,0.0,0.0,0.108,0.009
Kepler-416 b,0.183,0.124,0.168,0.0,0.0,0.221,0.029
Kepler-417 b,0.035,0.025,0.029,0.0,0.0,0.206,0.015
Kepler-418 b,1.1,0.0,1.1,0.0,0.0,1.2,0.16
Kepler-419 b,2.5,0.3,0.3,0.0,0.0,0.96,0.12
Kepler-419 c,7.3,0.4,0.4,0.0,0.0,0.67535,0.0
Kepler-41 b,0.56,0.08,0.08,0.0,0.0,1.29,0.02
Kepler-420 Ab,1.45,0.35,0.35,0.0,0.0,0.94,0.12
Kepler-422 b,0.43,0.13,0.13,0.13,0.13,1.15,0.11
Kepler-423 b,0.595,0.081,0.081,0.081,0.081,1.192,0.052
Kepler-424 b,1.03,0.13,0.13,0.13,0.13,0.89,0.06
Kepler-424 c,6.97,0.62,0.62,0.62,0.62,0.67535,0.0
Kepler-425 b,0.25,0.08,0.08,0.08,0.08,0.978,0.022
Kepler-426 b,0.34,0.08,0.08,0.08,0.08,1.09,0.03
Kepler-427 b,0.29,0.09,0.09,0.09,0.09,1.23,0.21
Kepler-428 b,1.27,0.19,0.19,0.0,0.0,1.08,0.03
Kepler-42 b,0.009,0.00899,0.0,0.0,0.0,0.07,0.02
Kepler-42 c,0.006,0.00599,0.0,0.0,0.0,0.065,0.018
Kepler-42 d,0.003,0.00299,0.0,0.0,0.0,0.051,0.016
Kepler-432 b,5.41,0.18,0.32,0.3,0.19,1.145,0.039
Kepler-432 c,2.43,0.24,0.22,0.24,0.22,0.67535,0.0
Kepler-433 b,2.82,0.52,0.52,0.0,0.0,1.45,0.16
Kepler-434 b,2.86,0.35,0.35,0.0,0.0,1.13,0.18
Kepler-435 b,0.84,0.15,0.15,0.0,0.0,1.99,0.18
Kepler-43 b,3.23,0.19,0.19,0.0,0.0,1.219,0.064
Kepler-445 b,0.02,0.003,0.003,0.0,0.0,0.14,0.02
Kepler-445 c,0.027,0.002,0.002,0.0,0.0,0.22,0.03
Kepler-445 d,0.011,0.002,0.002,0.0,0.0,0.11,0.02
Kepler-446 b,0.014,0.002,0.002,0.0,0.0,0.13,0.02
Kepler-446 c,0.009,0.003,0.003,0.0,0.0,0.1,0.02
Kepler-446 d,0.01,0.003,0.003,0.0,0.0,0.12,0.02
Kepler-447 b,1.37,0.46,0.48,0.48,0.48,1.65,0.59
Kepler-448 b,1.1,0.8,3.5,0.0,0.0,1.23,0.05
Kepler-44 b,1.0,0.1,0.1,0.0,0.0,1.09,0.07
Kepler-451 (AB)b,1.86,0.5,0.5,0.5,0.5,0.67535,0.0
Kepler-451 (AB)c,1.61,0.14,0.14,0.14,0.14,0.67535,0.0
Kepler-451 (AB)d,1.76,0.18,0.18,0.18,0.18,0.67535,0.0
Kepler-453 (AB)b,0.03,0.03,0.03,0.0,0.0,0.55,0.0031
Kepler-454 Ab,0.017,0.0044,0.0044,0.0044,0.0044,0.2114,0.0116
Kepler-454 Ac,4.583,0.05,0.05,0.05,0.05,0.67535,0.0
Kepler-454 Ad,2.307,0.44,0.44,0.44,0.44,0.67535,0.0
Kepler-45 b,0.505,0.09,0.09,0.0,0.0,0.96,0.11
Kepler-462 b,0.16959,0.07488,0.32911,0.0,0.0,0.268,0.009
Kepler-462 c,0.01888,0.01542,0.03398,0.0,0.0,0.357,0.018
Kepler-46 b,6.0,6.0,0.0,0.0,0.0,0.808,0.043
Kepler-46 c,0.376,0.019,0.021,0.0,0.0,0.67535,0.0
Kepler-47 (AB)d,0.05984,0.0368,0.0749,0.0,0.0,0.6281,0.0437
Kepler-48 b,0.0124,0.0066,0.0066,0.0,0.0,0.168,0.009
Kepler-48 c,0.04597,0.0072,0.0072,0.0,0.0,0.242,0.012
Kepler-48 d,0.025,0.014,0.014,0.0,0.0,0.182,0.0098
Kepler-48 e,2.067,0.079,0.079,0.079,0.079,0.67535,0.0
Kepler-48 f,0.94,0.29,0.29,0.29,0.29,0.67535,0.0
Kepler-49 b,0.98,0.0,0.0,0.0,0.0,0.243,0.0
Kepler-49 c,0.72,0.0,0.0,0.0,0.0,0.227,0.0
Kepler-4 b,0.077,0.012,0.012,0.0,0.0,0.357,0.019
Kepler-50 b,0.1,0.1,0.0,0.0,0.0,0.153,0.009
Kepler-50 c,0.11,0.11,0.0,0.0,0.0,0.194,0.007
Kepler-51 b,0.007,0.003,0.005,0.0,0.0,0.633,0.027
Kepler-51 c,0.013,0.001,0.001,0.0,0.0,0.803,0.152
Kepler-51 d,0.024,0.003,0.003,0.0,0.0,0.865,0.045
Kepler-51 e,0.017,0.009,0.0082,0.0,0.0,0.67535,0.0
Kepler-52 b,0.25,0.12,0.14,0.0,0.0,0.187,0.0
Kepler-52 c,0.198,0.047,0.061,0.0,0.0,0.164,0.0
Kepler-538 Ab,0.03335,0.00755,0.00787,0.0,0.0,0.198,0.003
Kepler-538 Ac,0.00076,0.0,0.0,0.0,0.0,0.0562,0.0054
Kepler-539 b,0.97,0.29,0.29,0.0,0.0,0.747,0.016
Kepler-539 c,2.4,1.2,1.2,0.0,0.0,0.67535,0.0
Kepler-53 c,0.11,0.0,0.0,0.0,0.0,0.283,0.0
Kepler-54 b,0.92,0.0,0.0,0.0,0.0,0.187,0.0
Kepler-54 c,0.37,0.0,0.0,0.0,0.0,0.11,0.0
Kepler-55 Ab,0.1353,0.057,0.117,0.0,0.0,0.17,0.0054
Kepler-55 Ac,0.2196,0.0576,0.1026,0.0,0.0,0.165,0.0045
Kepler-56 b,0.07,0.012,0.012,0.02,0.02,0.581,0.025
Kepler-56 c,0.57,0.06,0.066,0.044,0.044,0.874,0.041
Kepler-56 d,5.61,0.38,0.38,0.38,0.38,0.67535,0.0
Kepler-57 b,0.372,0.08,0.08,0.0,0.0,0.21,0.016
Kepler-57 c,0.0233,0.0198,0.0296,0.0,0.0,0.15,0.012
Kepler-58 b,1.39,1.39,0.0,0.0,0.0,0.248,0.0
Kepler-58 c,2.19,2.19,0.0,0.0,0.0,0.255,0.0
Kepler-595 b,0.05475,0.01196,0.02234,0.0,0.0,0.331,0.001
Kepler-595 c,0.01038,0.00315,0.00535,0.0,0.0,0.09,0.002
Kepler-59 b,2.05,2.05,0.0,0.0,0.0,0.098,0.0
Kepler-59 c,1.37,1.37,0.0,0.0,0.0,0.177,0.0
Kepler-5 b,2.111,0.086,0.067,0.0,0.0,1.426,0.051
Kepler-60 b,0.01318,0.00164,0.00176,0.0,0.0,0.153,0.012
Kepler-60 c,0.01211,0.00255,0.00255,0.0,0.0,0.17,0.013
Kepler-60 d,0.01309,0.00236,0.00264,0.0,0.0,0.178,0.014
Kepler-62 b,0.03,0.0,0.0,0.028,0.0,0.117,0.0036
Kepler-62 c,0.013,0.0,0.0,0.0126,0.0,0.048,0.0027
Kepler-62 d,0.044,0.044,0.0,0.0,0.0,0.174,0.0063
Kepler-62 e,0.113,0.113,0.0,0.0,0.0,0.144,0.0045
Kepler-62 f,0.11,0.11,0.0,0.0,0.0,0.126,0.0063
Kepler-63 b,0.378,0.0,0.0,0.0,0.0,0.545,0.02
Kepler-64 (AB)b,0.53,0.53,0.0,0.0,0.0,0.553,0.015
Kepler-65 c,0.084,0.058,0.064,0.058,0.064,0.23,0.005
Kepler-65 d,0.034,0.034,0.0,0.0,0.0,0.136,0.004
Kepler-65 e,0.82,0.16,0.63,0.055,0.056,0.67535,0.0
Kepler-66 b,0.047,0.0,0.0,0.0,0.0,0.25,0.006
Kepler-67 b,0.047,0.0,0.0,0.0,0.0,0.262,0.014
Kepler-68 b,0.02407,0.00415,0.00431,0.0,0.0,0.206,0.05
Kepler-68 c,0.00642,0.0056,0.00541,0.0,0.0,0.0827,0.0022
Kepler-68 d,0.77,0.03,0.03,0.03,0.03,0.67535,0.0
Kepler-68 e,0.51597,0.1418,0.1418,0.1418,0.1418,0.67535,0.0
Kepler-6 b,0.668,0.035,0.038,0.0,0.0,1.304,0.033
Kepler-70 b,0.0014,0.0,0.0,0.0,0.0,0.068,0.0
Kepler-70 c,0.0021,0.0,0.0,0.0,0.0,0.077,0.0
Kepler-725 c,0.031,0.009,0.009,0.009,0.009,0.67535,0.0
Kepler-74 b,0.63,0.12,0.12,0.0,0.0,0.96,0.02
Kepler-75 b,10.1,0.4,0.4,0.0,0.0,1.05,0.03
Kepler-76 b,2.01,0.35,0.37,0.0,0.0,1.36,0.12
Kepler-77 b,0.43,0.032,0.032,0.0,0.0,0.96,0.016
Kepler-78 Ab,0.00619,0.00168,0.00168,0.0,0.0,0.1,0.01
Kepler-79 b,0.0343,0.019,0.023,0.0,0.0,0.31,0.006
Kepler-79 c,0.019,0.0072,0.006,0.0,0.0,0.332,0.007
Kepler-79 d,0.019,0.005,0.0066,0.0,0.0,0.639,0.014
Kepler-79 e,0.013,0.0035,0.0038,0.0,0.0,0.311,0.012
Kepler-7 b,0.441,0.042,0.043,0.0,0.0,1.622,0.013
Kepler-80 b,0.0218,0.0022,0.0033,0.0,0.0,0.238,0.009
Kepler-80 c,0.02121,0.00271,0.00387,0.0,0.0,0.244,0.009
Kepler-80 d,0.02124,0.0016,0.00217,0.0,0.0,0.136,0.006
Kepler-80 e,0.01299,0.00299,0.00255,0.0,0.0,0.143,0.006
Kepler-82 b,0.03823,0.00274,0.00302,0.0,0.0,0.363,0.009
Kepler-82 c,0.04373,0.00378,0.00409,0.0,0.0,0.476,0.012
Kepler-82 f,0.06576,0.00315,0.00315,0.0,0.0,0.67535,0.0
Kepler-84 Ac,0.0636,0.0321,0.0425,0.0,0.0,0.281,0.0393
Kepler-85 b,0.0465,0.0,0.0,0.0,0.0,0.176,0.009
Kepler-85 c,0.059,0.0,0.0,0.0,0.0,0.194,0.009
Kepler-86 b,0.34235,0.101,0.094,0.0,0.0,0.8466,0.0143
Kepler-87 b,1.02,0.16,0.16,0.0,0.0,1.204,0.049
Kepler-87 c,0.02,0.003,0.003,0.0,0.0,0.548,0.026
Kepler-88 b,0.03,0.0036,0.0036,0.0,0.0,0.307,0.007
Kepler-88 c,0.674,0.016,0.016,0.0,0.0,0.67535,0.0
Kepler-88 d,3.05,0.16,0.16,0.16,0.16,0.67535,0.0
Kepler-89 Ab,0.018115,0.011957,0.011962,0.012,0.012,0.14613,0.01088
Kepler-89 Ac,0.019528,0.017593,0.017609,0.017585,0.017585,0.34473,0.00883
Kepler-89 Ad,0.2504561,0.0272732,0.0272747,0.027273,0.027273,0.91989,0.02177
Kepler-89 Ae,0.0254662,0.025665,0.0256658,0.025665,0.025665,0.54564,0.01294
Kepler-8 b,0.59,0.12,0.13,0.0,0.0,1.416,0.062
Kepler-91 b,0.81,0.17,0.18,0.0,0.0,1.367,0.06
Kepler-92 Ab,0.202,0.044,0.044,0.0,0.0,0.313,0.009
Kepler-92 Ac,0.019,0.006,0.006,0.0,0.0,0.232,0.007
Kepler-93 b,0.0143,0.00267,0.00267,0.0,0.0,0.14,0.01
Kepler-93 c,8.5,0.0,850.0,0.0,0.0,0.67535,0.0
Kepler-94 b,0.034,0.004,0.004,0.0,0.0,0.313,0.013
Kepler-94 c,9.836,0.629,0.629,0.629,0.629,0.67535,0.0
Kepler-95 b,0.041,0.009,0.009,0.0,0.0,0.305,0.008
Kepler-96 b,0.027,0.011,0.011,0.0,0.0,0.238,0.02
Kepler-97 Ab,0.011,0.006,0.006,0.0,0.0,0.132,0.012
Kepler-97 Ac,1.08,0.0,0.0,0.0,0.0,0.67535,0.0
Kepler-98 b,0.011,0.005,0.005,0.0,0.0,0.178,0.02
Kepler-99 Bb,0.0119971,0.0018,0.0018,0.0018,0.0018,0.16166,0.01204
Kepler-9 b,0.13655,0.00629,0.00503,0.0,0.0,0.74,0.038
Kepler-9 c,0.09408,0.00409,0.00346,0.0,0.0,0.721,0.037
Kepler-9 d,0.016518264,0.005506088,0.005506088,0.0,0.0,0.146,0.012
KIC 3853259 (AB)b,10.0,0.0,0.0,0.0,0.0,0.67535,0.0
KIC 7177553 (AB)b,5.0,0.0,0.0,0.0,0.0,0.67535,0.0
KIC 7821010 (AB)b,2.6,0.0,0.0,0.0,0.0,0.67535,0.0
KMT-2016-BLG-0625 b,0.051,0.044,0.044,0.0,0.0,0.67535,0.0
KMT-2016-BLG-1105 b,0.0073,0.00585,0.02338,0.0,0.0,0.67535,0.0
KMT-2016-BLG-1107 b,3.283,1.835,3.468,0.0,0.0,0.67535,0.0
KMT-2016-BLG-1397 b,7.0,4.3,5.2,0.0,0.0,0.67535,0.0
KMT-2016-BLG-1751,1.2,1.19,1.21,0.0,0.0,0.67535,0.0
KMT-2016-BLG-1836L b,2.2,1.1,1.9,0.0,0.0,0.67535,0.0
KMT-2016-BLG-2321 b,3.58,1.22,1.22,0.0,0.0,0.67535,0.0
KMT-2016-BLG-2364 b,3.93,2.17,3.16,0.0,0.0,0.67535,0.0
KMT-2016-BLG-2397 b,2.42,1.16,1.16,0.0,0.0,0.67535,0.0
KMT-2016-BLG-2605 b,0.771,0.401,1.183,0.0,0.0,0.67535,0.0
KMT-2017-BLG-0165L b,0.107,0.038,0.047,0.0,0.0,0.67535,0.0
KMT-2017-BLG-0428 b,0.01114,0.00513,0.00614,0.0,0.0,0.67535,0.0
KMT-2017-BLG-0673L b,3.67,3.1,3.2,0.0,0.0,0.67535,0.0
KMT-2017-BLG-0849 b,0.02011,0.009,0.0245,0.0,0.0,0.67535,0.0
KMT-2017-BLG-1003 b,0.01633,0.0088,0.01696,0.0,0.0,0.67535,0.0
KMT-2017-BLG-1038 b,2.4,1.4,1.8,0.0,0.0,0.67535,0.0
KMT-2017-BLG-1057 b,0.0739,0.038,0.047,0.0,0.0,0.67535,0.0
KMT-2017-BLG-1146 b,0.85,0.52,0.76,0.0,0.0,0.67535,0.0
KMT-2017-BLG-1194 b,3.54,1.63,1.95,0.0,0.0,0.67535,0.0
KMT-2017-BLG-2197 b,8.84,4.9,8.3,0.0,0.0,0.67535,0.0
KMT-2017-BLG-2331 b,0.538,0.277,0.44,0.0,0.0,0.67535,0.0
KMT-2017-BLG-2509 b,2.09,1.26,1.68,0.0,0.0,0.67535,0.0
KMT-2018-BLG-0029 b,0.02017,0.00236,0.0025,0.0,0.0,0.67535,0.0
KMT-2018-BLG-0030 b,1.45,0.88,1.23,0.0,0.0,0.67535,0.0
KMT-2018-BLG-0087 b,0.23,0.12,0.32,0.0,0.0,0.67535,0.0
KMT-2018-BLG-0247 b,2.11,1.0,2.0,0.0,0.0,0.67535,0.0
KMT-2018-BLG-0748 b,0.19,0.1,0.28,0.0,0.0,0.67535,0.0
KMT-2018-BLG-1025L b,0.019064,0.0101,0.025,0.0,0.0,0.67535,0.0
KMT-2018-BLG-1292L b,4.9,1.5,1.5,0.0,0.0,0.67535,0.0
KMT-2018-BLG-1743 b,0.925,0.68,0.675,0.0,0.0,0.67535,0.0
KMT-2018-BLG-1976L b,1.96,1.12,1.23,0.0,0.0,0.67535,0.0
KMT-2018-BLG-1988L b,0.0214,0.0104,0.0148,0.0,0.0,0.67535,0.0
KMT-2018-BLG-1990L b,0.57,0.25,0.79,0.0,0.0,0.67535,0.0
KMT-2018-BLG-1996L b,1.22,0.63,0.72,0.0,0.0,0.67535,0.0
KMT-2018-BLG-2004 b,0.27,0.12,0.12,0.0,0.0,0.67535,0.0
KMT-2018-BLG-2119 b,12.0,7.0,22.0,0.0,0.0,0.67535,0.0
KMT-2018-BLG-2602 b,1.15,0.6,0.7,0.0,0.0,0.67535,0.0
KMT-2019-BLG-0253 b,0.0289,0.0129,0.016,0.0,0.0,0.67535,0.0
KMT-2019-BLG-0298 b,1.81,0.96,0.96,0.0,0.0,0.67535,0.0
KMT-2019-BLG-0414L b,4.42,2.3,4.0,0.0,0.0,0.67535,0.0
KMT-2019-BLG-0578 b,1.2,0.6,1.2,0.0,0.0,0.67535,0.0
KMT-2019-BLG-0842 b,10.28,5.28,5.84,0.0,0.0,0.67535,0.0
KMT-2019-BLG-1042 b,0.19,0.11,0.21,0.0,0.0,0.67535,0.0
KMT-2019-BLG-1216 b,0.094,0.05,0.05,0.0,0.0,0.67535,0.0
KMT-2019-BLG-1339 b,12.2,6.7,16.1,0.0,0.0,0.67535,0.0
KMT-2019-BLG-1367 b,0.01284,0.00654,0.00812,0.0,0.0,0.67535,0.0
KMT-2019-BLG-1552 b,4.05,1.85,1.73,0.0,0.0,0.67535,0.0
KMT-2019-BLG-1715 b,2.56,1.16,1.13,0.0,0.0,0.67535,0.0
KMT-2019-BLG-1806 b,0.01469,0.005,0.00491,0.0,0.0,0.67535,0.0
KMT-2019-BLG-1953L b,0.59,0.32,0.71,0.0,0.0,0.67535,0.0
KMT-2019-BLG-1953L c,0.28,0.15,0.35,0.0,0.0,0.67535,0.0
KMT-2019-BLG-2783 b,1.16,0.77,0.77,0.0,0.0,0.67535,0.0
KMT-2019-BLG-2974 b,0.28,0.18,0.28,0.0,0.0,0.67535,0.0
KMT-2020-BLG-0414L b,0.00588,0.0005,0.00085,0.0,0.0,0.67535,0.0
KMT-2020-BLG-0757 b,10.7,5.6,6.2,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0119 b,5.7,3.0,3.0,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0171L b,0.0352,0.0142,0.0173,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0192 b,0.15,0.1,0.1,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0240 b,0.4,0.08,0.08,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0240 c,0.7,0.25,0.25,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0320 b,0.1,0.07,0.13,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0322 b,6.4,2.78,2.64,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0712 b,0.12016,0.038,0.066,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0736 b,0.066,0.05,0.041,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0748 b,0.45,0.25,0.4,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0909 b,1.26,0.66,1.0,0.0,0.0,0.67535,0.0
KMT-2021-BLG-0912 b,6.92,2.6,2.13,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1077L b,0.22,0.12,0.31,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1077L c,0.25,0.13,0.35,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1105 b,1.3,0.68,0.68,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1150L b,0.88,0.38,0.38,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1253 b,0.05994,0.0319,0.06425,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1303 b,0.38,0.2,0.22,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1372 b,0.19278,0.11289,0.11289,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1391 b,0.01432,0.00727,0.00727,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1547L b,1.47,0.77,0.65,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1554 b,0.12,0.07,0.2,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1689L b,0.145,0.094,0.072,0.0,0.0,0.67535,0.0
KMT-2021-BLG-1898 b,0.76,0.05,0.05,0.0,0.0,0.67535,0.0
KMT-2021-BLG-2010 b,1.07,0.68,1.15,0.0,0.0,0.67535,0.0
KMT-2021-BLG-2294 b,0.07,0.1,0.04,0.0,0.0,0.67535,0.0
KMT-2021-BLG-2478 b,0.8,0.35,0.56,0.0,0.0,0.67535,0.0
KMT-2021-BLG-2609 b,0.032,0.018,0.044,0.0,0.0,0.67535,0.0
KMT-2022-BLG-0303 b,0.513,0.275,0.41,0.0,0.0,0.67535,0.0
KMT-2022-BLG-0371 b,0.26,0.11,0.13,0.0,0.0,0.67535,0.0
KMT-2022-BLG-0440L b,0.0485,0.0233,0.0302,0.0,0.0,0.67535,0.0
KMT-2022-BLG-0475 b,0.079,0.042,0.065,0.0,0.0,0.67535,0.0
KMT-2022-BLG-0732 b,1.12,0.065,0.065,0.0,0.0,0.67535,0.0
KMT-2022-BLG-1013 b,0.31,0.16,0.46,0.0,0.0,0.67535,0.0
KMT-2022-BLG-1480 b,0.083,0.042,0.073,0.0,0.0,0.67535,0.0
KMT-2022-BLG-1787 b,6.64,3.6,5.0,0.0,0.0,0.67535,0.0
KMT-2022-BLG-1790 b,1.73,0.9,0.95,0.0,0.0,0.67535,0.0
KMT-2022-BLG-1818L b,1.5,0.3,0.6,0.0,0.0,0.67535,0.0
KMT-2022-BLG-1818L c,0.35,0.17,0.24,0.0,0.0,0.67535,0.0
KMT-2022-BLG-1852 b,5.0,3.0,5.4,0.0,0.0,0.67535,0.0
KMT-2022-BLG-2076 b,0.88,0.46,0.46,0.0,0.0,0.67535,0.0
KMT-2023-BLG-0119 b,0.2633,0.14395,0.1682,0.0,0.0,0.67535,0.0
KMT-2023-BLG-0416 b,6.15,3.2,3.0,0.0,0.0,0.67535,0.0
KMT-2023-BLG-0469 b,0.124,0.067,0.092,0.0,0.0,0.67535,0.0
KMT-2023-BLG-0735 b,0.12,0.07,0.07,0.0,0.0,0.67535,0.0
KMT-2023-BLG-1454 b,0.63,0.34,0.71,0.0,0.0,0.67535,0.0
KMT-2023-BLG-1642 b,1.18,1.9,0.7,0.0,0.0,0.67535,0.0
KMT-2023-BLG-1866L b,0.0104,0.0038,0.0038,0.0,0.0,0.67535,0.0
KMT-2023-BLG-1896 b,0.05144,0.02656,0.03087,0.0,0.0,0.67535,0.0
KMT-2023-BLG-2209 b,0.8,0.38,0.38,0.0,0.0,0.67535,0.0
KMT-2024-BLG-1044 b,0.0431,0.0211,0.0478,0.0,0.0,0.67535,0.0
KMT-2024-BLG-1209L b,2.64,1.16,1.57,0.0,0.0,0.67535,0.0
KOBE-1 b,0.0277,0.00239,0.00239,0.00239,0.00239,0.67535,0.0
KOBE-1 c,0.039,0.0035,0.0035,0.0035,0.0035,0.67535,0.0
KOI-2700 b,0.00271,0.00271,0.0,0.0,0.0,0.0946,0.0946
KPS-1 b,1.09,0.087,0.087,0.0,0.0,1.03,0.13
ksi Aql b,2.02,0.2,0.2,0.2,0.2,0.67535,0.0
L 168-9 b,0.01265,0.00138,0.00138,0.0,0.0,0.1392,0.0098
L 363-38 b,0.01469,0.00135,0.00135,0.00135,0.00135,0.67535,0.0
L 98-59 b,0.0013,0.0005,0.0005,0.0,0.0,0.0758,0.0036
L 98-59 c,0.00698,0.00082,0.00082,0.0,0.0,0.12356,0.00669
L 98-59 d,0.0061,0.00088,0.00088,0.0,0.0,0.1357,0.00874
L 98-59 e,0.00963,0.00116,0.00104,0.00116,0.00104,0.67535,0.0
Lalande 21185 b,0.00846,0.00079,0.00079,0.00079,0.00079,0.67535,0.0
Lalande 21185 c,0.0428,0.0076,0.0076,0.0076,0.0076,0.67535,0.0
Lalande 21185 d,0.01224,0.00264,0.00264,0.00264,0.00264,0.67535,0.0
lam2 For Ab,0.0529,0.0041,0.0041,0.0041,0.0041,0.67535,0.0
lam Ser b,0.0428,0.0047,0.0047,0.0047,0.0047,0.67535,0.0
LHS 1140 b,0.02196,0.0028,0.0028,0.0,0.0,0.15407,0.00285
LHS 1140 c,0.00569,0.00123,0.00123,0.0,0.0,0.11437,0.00214
LHS 1478 b,0.00733,0.0006,0.0006,0.0,0.0,0.1106,0.0045
LHS 1678 b,0.00019,0.00019,0.0003,0.0,0.0,0.06111,0.0033
LHS 1678 c,0.00123,0.00123,0.00135,0.0,0.0,0.08395,0.0045
LHS 1678 d,0.00289,0.00107,0.00208,0.0,0.0,0.08752,0.0062
LHS 1815 b,0.0132,0.0047,0.0047,0.0,0.0,0.09707,0.00571
LHS 3154 b,0.04137,0.00264,0.00264,0.00264,0.00264,0.67535,0.0
LHS 475 b,0.00308,0.00113,0.00198,0.0,0.0,0.0883,0.0045
LP 714-47 b,0.0969,0.0047,0.0047,0.0,0.0,0.419,0.027
LP 791-18 c,0.0223,0.0022,0.0022,0.0,0.0,0.2061,0.0223
LP 791-18 d,0.0028,0.0006,0.0006,0.0,0.0,0.0919,0.0036
LP 890-9 b,0.0415,0.0415,0.0,0.0,0.0,0.1178,0.00241
LP 890-9 c,0.0796,0.0796,0.0796,0.0,0.0,0.12196,0.00348
LSPM J0220+3320 (AB)b,7.5,0.0,0.0,0.0,0.0,0.67535,0.0
LSPM J2116+0234 b,0.042,0.003,0.003,0.003,0.003,0.67535,0.0
LTT 1445 Ab,0.009,0.0008,0.0008,0.0,0.0,0.116,0.006
LTT 1445 Ac,0.00485,0.0006,0.0006,0.0,0.0,0.10233,0.00491
LTT 1445 Ad,0.00856,0.000236,0.000236,0.000236,0.000236,0.67535,0.0
LTT 9779 b,0.09225,0.00255,0.00245,0.0,0.0,0.4211,0.0205
Lupus-TR-3 b,0.81,0.18,0.18,0.0,0.0,0.89,0.07
Luyten's Star b,0.00922,0.0,0.0,0.003,0.003,0.67535,0.0
Luyten's Star c,0.00374,0.0,0.0,0.0013,0.0013,0.67535,0.0
Luyten's Star d,0.03448,0.0,0.0,0.011,0.0123,0.67535,0.0
Luyten's Star e,0.0297,0.0,0.0,0.0123,0.0135,0.67535,0.0
M62H b,2.47,0.0,0.0,0.0,0.0,0.67535,0.0
MASCARA-1 b,3.7,0.9,0.9,0.0,0.0,1.5,0.3
MASCARA-3 Ab,5.18,0.22,0.22,0.0,0.0,1.272,0.022
MASCARA-4 Ab,1.675,0.241,0.241,0.0,0.0,1.53,0.04
MAXI J1957+032 b,17.0,0.0,0.0,0.0,0.0,0.5,0.0
Mayrit 260182 b,4.0,2.0,3.0,0.0,0.0,0.67535,0.0
MOA-2007-BLG-192L b,0.0393,0.025,0.2061,0.0,0.0,0.67535,0.0
MOA-2007-BLG-400L b,1.71,0.27,0.27,0.0,0.0,0.67535,0.0
MOA-2008-BLG-310L b,0.233,0.053,0.053,0.0,0.0,0.67535,0.0
MOA-2008-BLG-379L b,2.44,0.5,0.5,0.0,0.0,0.67535,0.0
MOA-2009-BLG-266L b,0.0327,0.005,0.005,0.0,0.0,0.67535,0.0
MOA-2009-BLG-319L b,0.208,0.0255,0.0255,0.0,0.0,0.67535,0.0
MOA-2009-BLG-387L b,2.6,1.6,4.1,0.0,0.0,0.67535,0.0
MOA-2010-BLG-073L b,11.0,2.0,2.0,0.0,0.0,0.67535,0.0
MOA-2010-BLG-117 b,0.51,0.07,0.07,0.0,0.0,0.67535,0.0
MOA-2010-BLG-328L b,0.029,0.007,0.007,0.0,0.0,0.67535,0.0
MOA-2010-BLG-353L b,0.27,0.16,0.48,0.0,0.0,0.67535,0.0
MOA-2010-BLG-477L b,1.4,0.3,0.3,0.0,0.0,0.67535,0.0
MOA-2011-BLG-028L b,0.094,0.038,0.05,0.0,0.0,0.67535,0.0
MOA-2011-BLG-262L b,0.09099,0.01495,0.01495,0.0,0.0,0.67535,0.0
MOA-2011-BLG-274 b,0.8,0.3,0.3,0.0,0.0,0.67535,0.0
MOA-2011-BLG-291 b,0.085,0.053,0.148,0.0,0.0,0.67535,0.0
MOA-2011-BLG-293L b,4.8,0.3,0.3,0.0,0.0,0.67535,0.0
MOA-2011-BLG-322L b,7.8,8.6,4.3,0.0,0.0,0.67535,0.0
MOA-2012-BLG-006 b,8.4,3.9,4.6,0.0,0.0,0.67535,0.0
MOA-2012-BLG-505L b,6.7,3.5,10.6,0.0,0.0,0.67535,0.0
